	Mass	       Radius	   Mag Field	 Alpha_BL	Mdot		Epsilon		GammaPhi	Delta	   Deltanu/1000	      Nu1	   DNu/Nu1	  Delta*R_in	R_in/R_ISCO    R_in/R_*
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.36971E-02    5.24750E-02    1.25521E-01    1.22058E-01    3.14307E-01    4.88235E-01    6.43762E-01    3.60299E-01    6.63838E+00    2.68351E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.36971E-02    4.39339E-02    1.09629E-01    1.02191E-01    3.30717E-01    5.23529E-01    6.31707E-01    3.01655E-01    6.63838E+00    2.68351E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.40135E-02    5.41896E-02    1.26689E-01    1.26046E-01    3.14358E-01    4.79412E-01    6.55716E-01    3.71079E-01    6.62067E+00    2.67636E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.43299E-02    5.00232E-02    1.24806E-01    1.16355E-01    3.17568E-01    5.10784E-01    6.21727E-01    3.41643E-01    6.60318E+00    2.66929E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.46463E-02    4.65311E-02    1.30045E-01    1.08232E-01    3.13344E-01    5.56863E-01    5.62695E-01    3.16961E-01    6.58589E+00    2.66230E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.46463E-02    5.23465E-02    1.15873E-01    1.21759E-01    3.28153E-01    4.72549E-01    6.94432E-01    3.56574E-01    6.58589E+00    2.66230E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.46463E-02    4.82414E-02    1.21511E-01    1.12210E-01    3.22262E-01    5.20588E-01    6.19035E-01    3.28611E-01    6.58589E+00    2.66230E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.46463E-02    5.38549E-02    1.15761E-01    1.25268E-01    3.28270E-01    4.60784E-01    7.12416E-01    3.66850E-01    6.58589E+00    2.66230E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.46463E-02    4.68064E-02    1.06867E-01    1.08873E-01    3.37563E-01    4.95098E-01    6.81810E-01    3.18836E-01    6.58589E+00    2.66230E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.49627E-02    4.68047E-02    1.49618E-01    1.08869E-01    2.94035E-01    5.98039E-01    4.91665E-01    3.17998E-01    6.56881E+00    2.65539E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.49627E-02    4.87407E-02    1.38116E-01    1.13372E-01    3.06101E-01    5.55882E-01    5.50658E-01    3.31151E-01    6.56881E+00    2.65539E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.49627E-02    4.97602E-02    1.26316E-01    1.15743E-01    3.18479E-01    5.20588E-01    6.11768E-01    3.38078E-01    6.56881E+00    2.65539E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.49627E-02    5.44432E-02    1.32757E-01    1.26636E-01    3.11723E-01    4.96078E-01    6.28375E-01    3.69895E-01    6.56881E+00    2.65539E+00
